price,minimum_nights,availability_365,neighbourhood,room_type
23,7,61,4,1
50,1,364,4,1
24,1,0,4,1
50,2,0,4,1
25,1,179,4,1
56,1,0,4,1
35,2,90,4,1
135,2,293,4,2
65,2,178,4,1
60,1,168,4,1
39,2,365,4,1
239,5,0,4,2
32,1,354,4,1
20,2,261,4,1
40,3,89,4,1
50,1,63,4,1
23,1,216,4,1
35,1,353,4,1
45,1,268,4,1
40,2,365,4,1
60,1,365,4,1
60,1,189,4,1
150,3,87,4,2
60,1,79,4,1
22,2,330,4,1
28,1,340,4,1
45,2,62,4,1
85,5,21,4,2
45,4,87,4,1
30,2,354,4,1
55,1,355,4,1
30,1,0,4,1
300,4,320,4,1
45,1,11,4,1
72,5,0,4,2
199,7,0,4,2
70,1,38,4,2
80,7,351,4,2
575,3,55,4,2
42,2,105,4,1
25,1,169,4,3
32,1,47,4,1
25,2,83,4,3
59,3,361,4,1
82,1,60,4,2
35,2,79,4,1
80,7,0,4,2
30,1,178,4,1
59,2,286,4,2
43,1,358,4,1
75,1,365,4,1
50,1,365,4,1
60,1,364,4,1
29,1,309,4,1
50,1,365,4,1
60,1,365,4,1
29,3,137,4,1
600,2,322,4,2
28,1,159,4,1
65,1,365,4,1
75,2,352,4,2
57,1,0,4,2
155,14,363,4,2
75,1,107,4,2
149,1,0,4,2
49,2,77,4,1
40,14,365,4,1
29,1,301,4,1
52,2,89,4,1
40,2,89,4,1
45,5,329,4,2
150,7,281,4,2
60,4,356,4,2
21,1,180,4,3
75,1,178,4,1
55,1,364,4,1
65,2,26,4,2
99,1,359,4,2
25,1,0,4,1
40,2,249,4,1
60,2,180,4,1
29,1,364,4,1
45,1,77,4,1
72,1,250,4,1
60,3,0,4,2
40,2,348,4,1
42,1,362,4,1
29,1,365,4,1
45,1,179,4,1
60,1,365,4,3
65,1,179,4,1
67,2,49,4,2
60,1,0,4,1
34,2,141,4,1
120,4,164,4,2
200,7,46,4,2
70,1,365,4,1
150,2,308,4,2
35,2,242,4,1
80,2,0,4,2
75,2,12,4,2
35,1,177,4,1
250,3,342,4,2
70,1,364,4,1
160,5,0,4,2
68,5,0,4,2
144,5,183,4,2
50,2,362,4,1
250,3,0,4,2
50,1,0,4,1
45,1,365,4,1
350,2,0,4,2
35,2,363,4,1
25,7,87,4,1
175,5,16,4,2
60,1,365,4,1
100,5,178,4,2
57,1,297,4,1
25,1,0,4,1
240,1,359,4,2
22,14,70,4,1
65,2,77,4,2
60,1,0,4,1
74,1,0,4,2
100,4,0,4,2
65,1,292,4,1
60,1,214,4,2
15,1,21,4,3
50,1,365,4,1
28,1,178,4,1
52,2,89,4,1
21,3,0,4,1
23,1,0,4,1
85,1,274,4,2
45,2,166,4,1
50,1,177,4,1
38,1,365,4,1
49,3,359,4,1
80,2,329,4,2
65,1,330,4,1
55,7,0,4,2
54,1,0,4,1
65,1,89,4,1
44,5,0,4,2
41,2,365,4,1
52,1,360,4,1
100,1,89,4,1
89,1,363,4,2
32,1,56,4,1
31,1,94,4,1
90,1,18,4,1
50,1,365,4,1
32,1,128,4,1
40,1,0,4,2
40,1,365,4,1
60,1,364,4,1
85,2,320,4,2
60,2,364,4,1
99,3,365,4,1
40,1,364,4,1
40,1,277,4,1
70,1,364,4,1
28,1,362,4,1
110,7,0,4,2
40,1,365,4,1
50,1,365,4,1
275,2,270,4,2
49,1,363,4,2
90,1,36,4,2
60,3,150,4,2
40,3,56,4,1
35,1,355,4,1
28,2,365,4,1
100,1,363,4,1
20,7,0,4,1
50,1,347,4,1
100,2,21,4,2
90,5,80,4,2
26,1,338,4,1
45,1,288,4,1
35,1,350,4,1
65,1,365,4,1
35,2,365,4,1
50,1,365,4,1
90,1,0,4,2
42,2,356,4,1
147,1,57,4,2
80,3,53,4,1
47,1,0,4,1
85,1,359,4,2
79,2,302,4,2
39,7,0,4,2
22,1,1,4,1
60,1,354,4,1
45,1,360,4,1
72,1,0,4,1
200,1,365,4,2
50,2,364,4,1
50,1,336,4,1
204,1,365,4,2
45,1,365,4,1
38,1,0,4,1
175,7,0,4,2
30,1,353,4,1
38,2,61,4,1
45,3,126,4,2
30,1,116,4,1
23,1,359,4,1
50,1,145,4,1
42,2,105,4,1
59,3,0,4,2
99,4,262,4,2
25,7,331,4,1
60,1,0,4,1
250,5,287,4,2
40,3,362,4,1
73,2,67,4,2
85,1,180,4,1
19,1,364,4,1
85,2,365,4,2
15,1,88,4,1
50,1,0,4,1
150,5,40,4,2
35,1,363,4,1
99,1,352,4,2
180,2,163,4,2
85,3,0,4,2
65,2,285,4,2
24,1,6,4,1
80,1,6,4,1
85,2,63,4,2
69,1,0,4,2
70,1,365,4,2
150,2,12,4,2
121,3,32,4,2
100,7,90,4,2
249,7,365,4,2
58,1,82,4,2
60,5,85,4,2
90,1,71,4,2
65,2,365,4,1
40,4,0,4,1
50,1,278,4,1
325,2,73,4,2
100,5,0,4,2
390,3,0,4,2
70,1,93,4,1
25,1,285,4,1
35,1,235,4,1
150,3,0,4,2
40,1,94,4,1
40,1,180,4,1
25,7,292,4,1
122,4,180,4,2
35,1,75,4,1
39,1,363,4,1
30,2,364,4,1
60,2,362,4,1
