@relation dataset2

@attribute neighbourhood numeric
@attribute price numeric
@attribute minimum_nights numeric
@attribute availability_365 numeric
@attribute room_type {'Private room','Entire home/apt','Shared room'}

@data
4,23,7,61,'Private room'
4,50,1,364,'Private room'
4,24,1,0,'Private room'
4,50,2,0,'Private room'
4,25,1,179,'Private room'
4,56,1,0,'Private room'
4,35,2,90,'Private room'
4,135,2,293,'Entire home/apt'
4,65,2,178,'Private room'
4,60,1,168,'Private room'
4,39,2,365,'Private room'
4,239,5,0,'Entire home/apt'
4,32,1,354,'Private room'
4,20,2,261,'Private room'
4,40,3,89,'Private room'
4,50,1,63,'Private room'
4,23,1,216,'Private room'
4,35,1,353,'Private room'
4,45,1,268,'Private room'
4,40,2,365,'Private room'
4,60,1,365,'Private room'
4,60,1,189,'Private room'
4,150,3,87,'Entire home/apt'
4,60,1,79,'Private room'
4,22,2,330,'Private room'
4,28,1,340,'Private room'
4,45,2,62,'Private room'
4,85,5,21,'Entire home/apt'
4,45,4,87,'Private room'
4,30,2,354,'Private room'
4,55,1,355,'Private room'
4,30,1,0,'Private room'
4,300,4,320,'Private room'
4,45,1,11,'Private room'
4,72,5,0,'Entire home/apt'
4,199,7,0,'Entire home/apt'
4,70,1,38,'Entire home/apt'
4,80,7,351,'Entire home/apt'
4,575,3,55,'Entire home/apt'
4,42,2,105,'Private room'
4,25,1,169,'Shared room'
4,32,1,47,'Private room'
4,25,2,83,'Shared room'
4,59,3,361,'Private room'
4,82,1,60,'Entire home/apt'
4,35,2,79,'Private room'
4,80,7,0,'Entire home/apt'
4,30,1,178,'Private room'
4,59,2,286,'Entire home/apt'
4,43,1,358,'Private room'
4,75,1,365,'Private room'
4,50,1,365,'Private room'
4,60,1,364,'Private room'
4,29,1,309,'Private room'
4,50,1,365,'Private room'
4,60,1,365,'Private room'
4,29,3,137,'Private room'
4,600,2,322,'Entire home/apt'
4,28,1,159,'Private room'
4,65,1,365,'Private room'
4,75,2,352,'Entire home/apt'
4,57,1,0,'Entire home/apt'
4,155,14,363,'Entire home/apt'
4,75,1,107,'Entire home/apt'
4,149,1,0,'Entire home/apt'
4,49,2,77,'Private room'
4,40,14,365,'Private room'
4,29,1,301,'Private room'
4,52,2,89,'Private room'
4,40,2,89,'Private room'
4,45,5,329,'Entire home/apt'
4,150,7,281,'Entire home/apt'
4,60,4,356,'Entire home/apt'
4,21,1,180,'Shared room'
4,75,1,178,'Private room'
4,55,1,364,'Private room'
4,65,2,26,'Entire home/apt'
4,99,1,359,'Entire home/apt'
4,25,1,0,'Private room'
4,40,2,249,'Private room'
4,60,2,180,'Private room'
4,29,1,364,'Private room'
4,45,1,77,'Private room'
4,72,1,250,'Private room'
4,60,3,0,'Entire home/apt'
4,40,2,348,'Private room'
4,42,1,362,'Private room'
4,29,1,365,'Private room'
4,45,1,179,'Private room'
4,60,1,365,'Shared room'
4,65,1,179,'Private room'
4,67,2,49,'Entire home/apt'
4,60,1,0,'Private room'
4,34,2,141,'Private room'
4,120,4,164,'Entire home/apt'
4,200,7,46,'Entire home/apt'
4,70,1,365,'Private room'
4,150,2,308,'Entire home/apt'
4,35,2,242,'Private room'
4,80,2,0,'Entire home/apt'
4,75,2,12,'Entire home/apt'
4,35,1,177,'Private room'
4,250,3,342,'Entire home/apt'
4,70,1,364,'Private room'
4,160,5,0,'Entire home/apt'
4,68,5,0,'Entire home/apt'
4,144,5,183,'Entire home/apt'
4,50,2,362,'Private room'
4,250,3,0,'Entire home/apt'
4,50,1,0,'Private room'
